opmode,datatype,requiredSNR,ISF,NSF,IMCS,TBS,numTrBlks,NRep,SNR,BLER,TTI,pathloss,datarate
inband,1,-12.6,0,1,0,16,100,1,12,0,1,139,16
inband,1,-12.6,0,1,0,16,100,1,11,0,1,140,16
inband,1,-12.6,0,1,0,16,100,2,10,0,2,141,8
inband,1,-12.6,0,1,0,16,100,2,9,0,2,142,8
inband,1,-12.6,0,1,0,16,100,2,8,0,2,143,8
inband,1,-12.6,0,1,0,16,100,2,7,0,2,144,8
inband,1,-12.6,0,1,0,16,100,2,6,0,2,145,8
inband,1,-12.6,0,1,0,16,100,2,5,0,2,146,8
inband,1,-12.6,0,1,0,16,100,2,4,0,2,147,8
inband,1,-12.6,0,1,0,16,100,4,3,0,4,148,4
inband,1,-12.6,0,1,0,16,100,4,2,0,4,149,4
inband,1,-12.6,0,1,0,16,100,4,1,0,4,150,4
inband,1,-12.6,0,1,0,16,100,4,0,0,4,151,4
inband,1,-12.6,0,1,0,16,100,8,-1,0,8,152,2
inband,1,-12.6,0,1,0,16,100,8,-2,0,8,153,2
inband,1,-12.6,0,1,0,16,100,32,-3,0,32,154,0.5
inband,1,-12.6,0,1,0,16,100,16,-4,0,16,155,1
inband,1,-12.6,0,1,0,16,100,32,-5,0,32,156,0.5
inband,1,-12.6,0,1,0,16,100,32,-6,0,32,157,0.5
inband,1,-12.6,0,1,0,16,100,64,-7,0,64,158,0.25
inband,1,-12.6,0,1,0,16,100,64,-8,0,64,159,0.25
inband,1,-12.6,0,1,0,16,100,128,-9,0,128,160,0.125
inband,1,-12.6,0,1,0,16,100,128,-10,0,128,161,0.125
inband,1,-12.6,0,1,0,16,100,128,-11,0,128,162,0.125
inband,1,-12.6,0,1,0,16,100,256,-12,0,256,163,0.0625
inband,1,-12.6,0,1,0,16,100,256,-13,0,256,164,0.0625
inband,1,-12.6,0,1,1,24,100,1,16,0,1,135,24
inband,1,-12.6,0,1,1,24,100,1,15,0,1,136,24
inband,1,-12.6,0,1,1,24,100,1,14,0,1,137,24
inband,1,-12.6,0,1,1,24,100,1,13,0,1,138,24
inband,1,-12.6,0,1,1,24,100,2,12,0,2,139,12
inband,1,-12.6,0,1,1,24,100,2,11,0,2,140,12
inband,1,-12.6,0,1,1,24,100,2,10,0,2,141,12
inband,1,-12.6,0,1,1,24,100,2,9,0,2,142,12
inband,1,-12.6,0,1,1,24,100,2,8,0,2,143,12
inband,1,-12.6,0,1,1,24,100,2,7,0,2,144,12
inband,1,-12.6,0,1,1,24,100,2,6,0,2,145,12
inband,1,-12.6,0,1,1,24,100,4,5,0,4,146,6
inband,1,-12.6,0,1,1,24,100,4,4,0,4,147,6
inband,1,-12.6,0,1,1,24,100,4,3,0,4,148,6
inband,1,-12.6,0,1,1,24,100,4,2,0,4,149,6
inband,1,-12.6,0,1,1,24,100,4,1,0,4,150,6
inband,1,-12.6,0,1,1,24,100,8,0,0,8,151,3
inband,1,-12.6,0,1,1,24,100,8,-1,0,8,152,3
inband,1,-12.6,0,1,1,24,100,8,-2,0,8,153,3
inband,1,-12.6,0,1,1,24,100,32,-3,0,32,154,0.75
inband,1,-12.6,0,1,1,24,100,32,-4,0,32,155,0.75
inband,1,-12.6,0,1,1,24,100,32,-5,0,32,156,0.75
inband,1,-12.6,0,1,1,24,100,64,-6,0,64,157,0.375
inband,1,-12.6,0,1,1,24,100,64,-7,0,64,158,0.375
inband,1,-12.6,0,1,1,24,100,64,-8,0,64,159,0.375
inband,1,-12.6,0,1,1,24,100,128,-9,0,128,160,0.1875
inband,1,-12.6,0,1,1,24,100,128,-10,0,128,161,0.1875
inband,1,-12.6,0,1,1,24,100,192,-11,0,192,162,0.125
inband,1,-12.6,0,1,1,24,100,192,-12,0,192,163,0.125
inband,1,-12.6,0,1,1,24,100,256,-13,0,256,164,0.09375
inband,1,-12.6,0,1,2,32,100,1,14,0,1,137,32
inband,1,-12.6,0,1,2,32,100,1,13,0,1,138,32
inband,1,-12.6,0,1,2,32,100,2,12,0,2,139,16
inband,1,-12.6,0,1,2,32,100,2,11,0,2,140,16
inband,1,-12.6,0,1,2,32,100,2,10,0,2,141,16
inband,1,-12.6,0,1,2,32,100,2,9,0,2,142,16
inband,1,-12.6,0,1,2,32,100,2,8,0,2,143,16
inband,1,-12.6,0,1,2,32,100,2,7,0,2,144,16
inband,1,-12.6,0,1,2,32,100,4,6,0,4,145,8
inband,1,-12.6,0,1,2,32,100,4,5,0,4,146,8
inband,1,-12.6,0,1,2,32,100,4,4,0,4,147,8
inband,1,-12.6,0,1,2,32,100,4,3,0,4,148,8
inband,1,-12.6,0,1,2,32,100,4,2,0,4,149,8
inband,1,-12.6,0,1,2,32,100,8,1,0,8,150,4
inband,1,-12.6,0,1,2,32,100,8,0,0,8,151,4
inband,1,-12.6,0,1,2,32,100,8,-1,0,8,152,4
inband,1,-12.6,0,1,2,32,100,8,-2,0,8,153,4
inband,1,-12.6,0,1,2,32,100,32,-3,0,32,154,1
inband,1,-12.6,0,1,2,32,100,32,-4,0,32,155,1
inband,1,-12.6,0,1,2,32,100,32,-5,0,32,156,1
inband,1,-12.6,0,1,2,32,100,32,-6,0,32,157,1
inband,1,-12.6,0,1,2,32,100,64,-7,0,64,158,0.5
inband,1,-12.6,0,1,2,32,100,128,-8,0,128,159,0.25
inband,1,-12.6,0,1,2,32,100,128,-9,0,128,160,0.25
inband,1,-12.6,0,1,2,32,100,128,-10,0,128,161,0.25
inband,1,-12.6,0,1,2,32,100,192,-11,0,192,162,0.166666667
inband,1,-12.6,0,1,2,32,100,256,-12,0,256,163,0.125
inband,1,-12.6,0,1,2,32,100,384,-13,0,384,164,0.083333333
inband,1,-12.6,0,1,3,40,100,1,16,0,1,135,40
inband,1,-12.6,0,1,3,40,100,1,15,0,1,136,40
inband,1,-12.6,0,1,3,40,100,1,14,0,1,137,40
inband,1,-12.6,0,1,3,40,100,1,13,0,1,138,40
inband,1,-12.6,0,1,3,40,100,2,12,0,2,139,20
inband,1,-12.6,0,1,3,40,100,2,11,0,2,140,20
inband,1,-12.6,0,1,3,40,100,2,10,0,2,141,20
inband,1,-12.6,0,1,3,40,100,2,9,0,2,142,20
inband,1,-12.6,0,1,3,40,100,2,8,0,2,143,20
inband,1,-12.6,0,1,3,40,100,2,7,0,2,144,20
inband,1,-12.6,0,1,3,40,100,4,6,0,4,145,10
inband,1,-12.6,0,1,3,40,100,4,5,0,4,146,10
inband,1,-12.6,0,1,3,40,100,4,4,0,4,147,10
inband,1,-12.6,0,1,3,40,100,4,3,0,4,148,10
inband,1,-12.6,0,1,3,40,100,4,2,0,4,149,10
inband,1,-12.6,0,1,3,40,100,8,1,0,8,150,5
inband,1,-12.6,0,1,3,40,100,16,0,0,16,151,2.5
inband,1,-12.6,0,1,3,40,100,8,-1,0,8,152,5
inband,1,-12.6,0,1,3,40,100,16,-2,0,16,153,2.5
inband,1,-12.6,0,1,3,40,100,32,-3,0,32,154,1.25
inband,1,-12.6,0,1,3,40,100,32,-4,0,32,155,1.25
inband,1,-12.6,0,1,3,40,100,32,-5,0,32,156,1.25
inband,1,-12.6,0,1,3,40,100,64,-6,0,64,157,0.625
inband,1,-12.6,0,1,3,40,100,128,-7,0,128,158,0.3125
inband,1,-12.6,0,1,3,40,100,128,-8,0,128,159,0.3125
inband,1,-12.6,0,1,3,40,100,128,-9,0,128,160,0.3125
inband,1,-12.6,0,1,3,40,100,128,-10,0,128,161,0.3125
inband,1,-12.6,0,1,3,40,100,256,-11,0,256,162,0.15625
inband,1,-12.6,0,1,3,40,100,384,-12,0,384,163,0.104166667
inband,1,-12.6,0,1,3,40,100,384,-13,0,384,164,0.104166667
inband,1,-12.6,0,1,4,56,100,1,20,0,1,131,56
inband,1,-12.6,0,1,4,56,100,1,19,0,1,132,56
inband,1,-12.6,0,1,4,56,100,1,18,0,1,133,56
inband,1,-12.6,0,1,4,56,100,1,17,0,1,134,56
inband,1,-12.6,0,1,4,56,100,1,16,0,1,135,56
inband,1,-12.6,0,1,4,56,100,1,15,0,1,136,56
inband,1,-12.6,0,1,4,56,100,1,14,0,1,137,56
inband,1,-12.6,0,1,4,56,100,2,13,0,2,138,28
inband,1,-12.6,0,1,4,56,100,2,12,0,2,139,28
inband,1,-12.6,0,1,4,56,100,2,11,0,2,140,28
inband,1,-12.6,0,1,4,56,100,2,10,0,2,141,28
inband,1,-12.6,0,1,4,56,100,2,9,0,2,142,28
inband,1,-12.6,0,1,4,56,100,4,8,0,4,143,14
inband,1,-12.6,0,1,4,56,100,4,7,0,4,144,14
inband,1,-12.6,0,1,4,56,100,4,6,0,4,145,14
inband,1,-12.6,0,1,4,56,100,4,5,0,4,146,14
inband,1,-12.6,0,1,4,56,100,4,4,0,4,147,14
inband,1,-12.6,0,1,4,56,100,4,3,0,4,148,14
inband,1,-12.6,0,1,4,56,100,8,2,0,8,149,7
inband,1,-12.6,0,1,4,56,100,8,1,0,8,150,7
inband,1,-12.6,0,1,4,56,100,8,0,0,8,151,7
inband,1,-12.6,0,1,4,56,100,16,-1,0,16,152,3.5
inband,1,-12.6,0,1,4,56,100,32,-2,0,32,153,1.75
inband,1,-12.6,0,1,4,56,100,32,-3,0,32,154,1.75
inband,1,-12.6,0,1,4,56,100,32,-4,0,32,155,1.75
inband,1,-12.6,0,1,4,56,100,64,-5,0,64,156,0.875
inband,1,-12.6,0,1,4,56,100,64,-6,0,64,157,0.875
inband,1,-12.6,0,1,4,56,100,128,-7,0,128,158,0.4375
inband,1,-12.6,0,1,4,56,100,128,-8,0,128,159,0.4375
