SCS,ISC,NRUSC,tRU,requiredSNR,IRU,NRU,ITBS,Qm,TBS,numTrBlks,NRep,SNR,BLER,TTI,pathloss,datarate,bandwidth
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,8,0,32,150,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,7,0,32,151,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,6,0,32,152,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,5,0,32,153,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,4,0,32,154,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,3,0,32,155,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,2,0,32,156,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,1,0,32,157,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,0,0,32,158,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,2,-1,0,64,159,0.375,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,2,-2,0,64,160,0.375,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,1,-3,0,32,161,0.75,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,2,-4,0,64,162,0.375,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,8,-5,0,256,163,0.09375,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,8,-6,0,256,164,0.09375,"3,75"
3750,0,1,32,-5.7403,0,1,1,2,24,100,8,-7,0,256,165,0.09375,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,1,10,0,32,148,1,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,1,8,0,32,150,1,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,1,6,0,32,152,1,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,1,4,0,32,154,1,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,1,0,0,32,158,1,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,2,-1,0,64,159,0.5,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,2,-2,0,64,160,0.5,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,2,-3,0,64,161,0.5,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,4,-4,0,128,162,0.25,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,2,-5,0,64,163,0.5,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,8,-6,0,256,164,0.125,"3,75"
3750,0,1,32,-5.7403,0,1,2,1,32,100,8,-7,0,256,165,0.125,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,1,12,0,32,146,1.25,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,1,11,0,32,147,1.25,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,1,10,0,32,148,1.25,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,1,9,0,32,149,1.25,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,1,8,0,32,150,1.25,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,1,7,0,32,151,1.25,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,1,6,0,32,152,1.25,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,1,5,0,32,153,1.25,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,2,4,0,64,154,0.625,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,2,3,0,64,155,0.625,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,1,2,0,32,156,1.25,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,2,1,0,64,157,0.625,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,2,0,0,64,158,0.625,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,2,-1,0,64,159,0.625,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,2,-2,0,64,160,0.625,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,4,-3,0,128,161,0.3125,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,8,-4,0,256,162,0.15625,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,8,-5,0,256,163,0.15625,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,8,-6,0,256,164,0.15625,"3,75"
3750,0,1,32,-5.7403,0,1,3,2,40,100,8,-7,0,256,165,0.15625,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,1,8,0,32,150,1.75,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,1,7,0,32,151,1.75,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,1,6,0,32,152,1.75,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,1,5,0,32,153,1.75,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,1,4,0,32,154,1.75,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,1,3,0,32,155,1.75,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,2,2,0,64,156,0.875,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,2,1,0,64,157,0.875,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,2,0,0,64,158,0.875,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,2,-1,0,64,159,0.875,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,2,-2,0,64,160,0.875,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,4,-3,0,128,161,0.4375,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,8,-4,0,256,162,0.21875,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,4,-5,0,128,163,0.4375,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,8,-6,0,256,164,0.21875,"3,75"
3750,0,1,32,-5.7403,0,1,4,2,56,100,4,-7,0,128,165,0.4375,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,14,0,32,144,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,13,0,32,145,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,12,0,32,146,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,11,0,32,147,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,10,0,32,148,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,9,0,32,149,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,8,0,32,150,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,7,0,32,151,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,6,0,32,152,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,2,5,0,64,153,1.125,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,4,0,32,154,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,1,3,0,32,155,2.25,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,2,2,0,64,156,1.125,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,2,1,0,64,157,1.125,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,4,0,0,128,158,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,4,-1,0,128,159,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,4,-2,0,128,160,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,4,-3,0,128,161,0.5625,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,8,-4,0,256,162,0.28125,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,8,-5,0,256,163,0.28125,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,8,-6,0,256,164,0.28125,"3,75"
3750,0,1,32,-5.7403,0,1,5,2,72,100,8,-7,0,256,165,0.28125,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,1,10,0,32,148,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,1,9,0,32,149,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,1,8,0,32,150,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,1,7,0,32,151,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,2,6,0,64,152,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,1,5,0,32,153,2.75,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,2,4,0,64,154,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,2,3,0,64,155,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,2,2,0,64,156,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,2,1,0,64,157,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,2,0,0,64,158,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,2,-1,0,64,159,1.375,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,4,-2,0,128,160,0.6875,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,4,-3,0,128,161,0.6875,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,4,-4,0,128,162,0.6875,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,8,-5,0,256,163,0.34375,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,8,-6,0,256,164,0.34375,"3,75"
3750,0,1,32,-5.7403,0,1,6,2,88,100,8,-7,0,256,165,0.34375,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,1,16,0,32,142,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,1,15,0,32,143,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,1,14,0,32,144,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,1,13,0,32,145,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,1,12,0,32,146,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,1,11,0,32,147,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,1,10,0,32,148,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,1,9,0,32,149,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,1,8,0,32,150,3.25,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,2,7,0,64,151,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,2,6,0,64,152,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,2,5,0,64,153,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,2,4,0,64,154,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,2,3,0,64,155,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,2,2,0,64,156,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,4,1,0,128,157,0.8125,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,8,0,0,256,158,0.40625,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,2,-1,0,64,159,1.625,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,8,-2,0,256,160,0.40625,"3,75"
3750,0,1,32,-5.7403,0,1,7,2,104,100,8,-3,0,256,161,0.40625,"3,75"
